Symbol,Token,Strike,Close Price
NIFTY01AUG24P21800,40782,21800,1.95
NIFTY01AUG24P21850,40784,21850,2.2
NIFTY01AUG24P21900,40786,21900,2.3
NIFTY01AUG24P21950,40789,21950,2.9
NIFTY01AUG24P22000,40794,22000,2.5
NIFTY01AUG24P22050,40796,22050,2.4
NIFTY01AUG24P22100,40798,22100,2.5
NIFTY01AUG24P22150,40801,22150,2.6
NIFTY01AUG24P22200,40803,22200,2.55
NIFTY01AUG24P22250,40805,22250,2.45
NIFTY01AUG24P22300,40807,22300,2.6
NIFTY01AUG24P22350,40809,22350,2.95
NIFTY01AUG24P22400,40813,22400,2.7
NIFTY01AUG24P22450,40820,22450,2.85
NIFTY01AUG24P22500,40824,22500,2.7
NIFTY01AUG24P22550,40828,22550,3.15
NIFTY01AUG24P22600,40830,22600,2.9
NIFTY01AUG24P22650,40834,22650,3.0
NIFTY01AUG24P22700,40842,22700,3.15
NIFTY01AUG24P22750,40856,22750,2.7
NIFTY01AUG24P22800,40858,22800,3.3
NIFTY01AUG24P22850,40865,22850,3.65
NIFTY01AUG24P22900,40867,22900,3.6
NIFTY01AUG24P22950,40869,22950,3.65
NIFTY01AUG24P23000,40872,23000,4.05
NIFTY01AUG24P23050,40878,23050,3.95
NIFTY01AUG24P23100,40883,23100,4.35
NIFTY01AUG24P23150,40888,23150,4.5
NIFTY01AUG24P23200,40892,23200,4.8
NIFTY01AUG24P23250,40897,23250,5.4
NIFTY01AUG24P23300,40899,23300,6.05
NIFTY01AUG24P23350,40901,23350,6.75
NIFTY01AUG24P23400,40905,23400,7.55
NIFTY01AUG24P23450,40907,23450,8.55
NIFTY01AUG24P23500,40909,23500,10.15
NIFTY01AUG24P23550,40916,23550,11.6
NIFTY01AUG24P23600,40918,23600,13.5
NIFTY01AUG24P23650,40920,23650,15.7
NIFTY01AUG24P23700,40922,23700,17.9
NIFTY01AUG24P23750,40924,23750,20.8
NIFTY01AUG24P23800,40926,23800,24.15
NIFTY01AUG24P23850,40929,23850,28.45
NIFTY01AUG24P23900,40935,23900,34.0
NIFTY01AUG24P23950,40938,23950,40.7
NIFTY01AUG24P24000,40940,24000,46.95
NIFTY01AUG24P24050,40944,24050,53.75
NIFTY01AUG24P24100,40946,24100,64.05
NIFTY01AUG24P24150,40948,24150,73.35
NIFTY01AUG24P24200,40956,24200,88.0
NIFTY01AUG24C24250,40957,24250,284.0
NIFTY01AUG24C24300,40959,24300,247.8
NIFTY01AUG24C24350,40967,24350,218.45
NIFTY01AUG24C24400,40976,24400,188.85
NIFTY01AUG24C24450,40982,24450,165.55
NIFTY01AUG24C24500,40987,24500,138.9
NIFTY01AUG24C24550,40994,24550,120.25
NIFTY01AUG24C24600,41007,24600,100.45
NIFTY01AUG24C24650,41010,24650,83.05
NIFTY01AUG24C24700,41014,24700,68.9
NIFTY01AUG24C24750,41016,24750,57.95
NIFTY01AUG24C24800,41034,24800,47.7
NIFTY01AUG24C24850,41037,24850,39.7
NIFTY01AUG24C24900,41051,24900,32.65
NIFTY01AUG24C24950,41056,24950,26.75
